****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=100.
Parallel execution requested.  Will use 4 threads.
Random seed: 1731925120
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate at 200 iterations
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 68x1099
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.001	Loglikelihood: -50442.8	(delta): 74815
2 (EM) 	Elapsed: 0.001	Loglikelihood: -48711.2	(delta): 1731.59
3 (EM) 	Elapsed: 0.001	Loglikelihood: -48295.3	(delta): 415.983
4 (EM) 	Elapsed: 0.001	Loglikelihood: -48086.4	(delta): 208.867
5 (EM) 	Elapsed: 0.001	Loglikelihood: -47977.2	(delta): 109.168
Initial loglikelihood: -47977.2
Starting main algorithm
1 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -47743.8	(delta): 233.426
2 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -47658.8	(delta): 85.028
3 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -47566.3	(delta): 92.4623
4 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -47461.1	(delta): 105.174
5 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -47333.6	(delta): 127.547
6 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -47246.3	(delta): 87.2581
7 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -47210.6	(delta): 35.7139
8 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -47198.7	(delta): 11.9117
9 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -47192	(delta): 6.69482
10 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -47189.5	(delta): 2.53628
11 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -47188.5	(delta): 0.970909
12 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -47188	(delta): 0.467107
13 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -47187.8	(delta): 0.251202
14 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -47187.6	(delta): 0.232564
15 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -47187.4	(delta): 0.157499
16 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -47187.2	(delta): 0.148376
17 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -47187.1	(delta): 0.14026
18 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -47187	(delta): 0.0591392
19 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -47187	(delta): 0.00379135
20 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -47187	(delta): 0.00159828
21 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -47187	(delta): 0.00141155
22 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -47187	(delta): 0.000133495
23 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -47187	(delta): 2.67031e-05
24 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -47187	(delta): 1.1335e-05
25 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -47187	(delta): 2.20997e-06
26 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -47187	(delta): 1.21034e-06
27 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -47187	(delta): 2.6534e-07
28 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -47187	(delta): 6.09507e-08
29 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -47187	(delta): 4.30737e-09
30 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -47187	(delta): 8.73115e-10
